timestamp,event,temperature,latency
276397338504000,INSERT,18.471786,700
276397338516700,INSERT,23.772850,400
276397338517700,INSERT,26.808374,100
276397338518400,INSERT,25.128330,0
276397338519000,INSERT,17.667929,200
276397338519700,INSERT,25.714287,600
276397338520800,INSERT,27.578356,0
276397338521400,INSERT,17.477951,100
276397338521800,INSERT,28.308512,0
276397338522300,INSERT,25.713829,0
276397338522700,INSERT,21.847897,100
276397338523200,INSERT,21.775108,100
276397338523700,INSERT,24.358349,0
276397338524100,INSERT,24.948425,100
276397338524500,INSERT,19.364452,100
276397338524900,INSERT,21.443678,100
276397338525300,INSERT,25.055544,100
276397338525700,INSERT,19.676657,0
276397338526000,INSERT,26.936552,0
276397338526400,INSERT,16.807764,100
276397338526900,INSERT,19.677572,0
276397338527200,INSERT,18.810999,100
276397338527600,INSERT,20.089571,100
276397338528000,INSERT,21.996674,0
276397338528300,INSERT,16.206701,100
276397338528700,INSERT,19.799799,0
276397338529000,INSERT,24.796898,100
276397338529400,INSERT,16.642506,100
276397338529800,INSERT,15.607928,0
276397338530100,INSERT,27.666248,0
276397338530500,INSERT,24.736015,100
276397338530900,INSERT,15.966826,0
276397338531200,INSERT,20.942411,0
276397338531600,INSERT,29.543594,100
276397338532100,INSERT,17.059999,0
276397338532400,INSERT,25.353100,100
276397338532800,INSERT,18.032318,0
276397338533100,INSERT,24.550615,0
276397338533500,INSERT,22.142246,100
276397338533800,INSERT,27.988983,0
276397338534200,INSERT,21.900539,100
276397338534500,INSERT,21.358074,0
276397338534900,INSERT,25.258339,0
276397338535300,INSERT,26.684317,100
276397338535600,INSERT,20.697500,0
276397338536000,INSERT,28.278755,0
276397338536300,INSERT,15.688498,100
276397338536700,INSERT,18.450270,0
276397338537000,INSERT,16.335794,0
276397338537400,INSERT,23.230843,100
276397338537900,INSERT,26.195868,100
276397338538300,INSERT,27.936796,100
276397338538700,INSERT,23.557238,0
276397338539100,INSERT,18.424177,0
276397338539400,INSERT,23.353527,100
276397338539800,INSERT,18.317514,0
276397338540100,INSERT,16.642048,100
276397338540500,INSERT,27.099064,100
276397338540900,INSERT,16.695608,0
276397338541200,INSERT,15.728324,100
276397338541600,INSERT,15.485245,0
276397338541900,INSERT,17.174902,0
276397338542300,INSERT,27.148960,100
276397338542700,INSERT,25.834225,12400
276397338555500,INSERT,15.257271,100
276397338556000,INSERT,19.144718,100
276397338556400,INSERT,27.723015,0
276397338556700,INSERT,18.634754,0
276397338557100,INSERT,26.365704,100
276397338557500,INSERT,23.062838,0
276397338557800,INSERT,21.926634,0
276397338558200,INSERT,25.094913,100
276397338558600,INSERT,18.940092,100
276397338558900,INSERT,26.964476,0
276397338559300,INSERT,27.875912,0
276397338559700,INSERT,21.694998,100
276397338560000,INSERT,23.556780,0
276397338560400,INSERT,21.570024,0
276397338560800,INSERT,28.564409,0
276397338561100,INSERT,21.494949,0
276397338561500,INSERT,17.421644,0
276397338561800,INSERT,18.609119,100
276397338562100,INSERT,16.262093,0
276397338562500,INSERT,17.803888,100
276397338562800,INSERT,27.732628,0
276397338563200,INSERT,27.610401,100
276397338563500,INSERT,26.522263,0
276397338563900,INSERT,19.054995,100
276397338564300,INSERT,21.434523,0
276397338564600,INSERT,28.504440,0
276397338564900,INSERT,19.742577,0
276397338565300,INSERT,15.970489,100
276397338565600,INSERT,28.095646,0
276397338566000,INSERT,24.881588,100
276397338566400,INSERT,15.778222,0
276397338566700,INSERT,29.620045,100
276397338567100,INSERT,20.112461,100
