timestamp,event,temperature,latency
543548319000,INSERT,18.471786,1900
543548333500,INSERT,23.772850,300
543548334700,INSERT,26.808374,100
543548335300,INSERT,25.128330,100
543548335900,INSERT,17.667929,200
543548336500,INSERT,25.714287,500
543548337400,INSERT,27.578356,100
543548337800,INSERT,17.477951,100
543548338100,INSERT,28.308512,0
543548338600,INSERT,25.713829,0
543548338900,INSERT,21.847897,100
543548339400,INSERT,21.775108,100
543548339800,INSERT,24.358349,0
543548350600,INSERT,24.948425,200
543548351200,INSERT,19.364452,0
543548351800,INSERT,21.443678,0
543548352100,INSERT,25.055544,0
543548352500,INSERT,19.676657,100
543548353000,INSERT,26.936552,100
543548353400,INSERT,16.807764,0
543548353900,INSERT,19.677572,100
543548354200,INSERT,18.810999,0
543548354600,INSERT,20.089571,0
543548354900,INSERT,21.996674,0
543548355300,INSERT,16.206701,0
543548355700,INSERT,19.799799,0
543548356100,INSERT,24.796898,100
543548356400,INSERT,16.642506,0
543548356800,INSERT,15.607928,100
543548357300,INSERT,27.666248,0
543548357600,INSERT,24.736015,100
543548357900,INSERT,15.966826,0
543548358300,INSERT,20.942411,100
543548358600,INSERT,29.543594,0
543548359100,INSERT,17.059999,0
543548359500,INSERT,25.353100,0
543548359800,INSERT,18.032318,0
543548360200,INSERT,24.550615,0
543548360500,INSERT,22.142246,100
543548360800,INSERT,27.988983,0
543548361200,INSERT,21.900539,0
543548361500,INSERT,21.358074,100
543548361900,INSERT,25.258339,0
543548362200,INSERT,26.684317,100
543548362600,INSERT,20.697500,0
543548362900,INSERT,28.278755,100
543548363300,INSERT,15.688498,0
543548363600,INSERT,18.450270,0
543548364000,INSERT,16.335794,100
543548364400,INSERT,23.230843,0
543548364700,INSERT,26.195868,100
543548365100,INSERT,27.936796,100
543548365500,INSERT,23.557238,100
543548365800,INSERT,18.424177,0
543548366200,INSERT,23.353527,100
543548366500,INSERT,18.317514,0
543548366900,INSERT,16.642048,100
543548367300,INSERT,27.099064,100
543548367600,INSERT,16.695608,0
543548368000,INSERT,15.728324,100
543548368300,INSERT,15.485245,0
543548368700,INSERT,17.174902,100
543548369100,INSERT,27.148960,0
543548369400,INSERT,25.834225,9200
543548379100,INSERT,15.257271,100
543548379600,INSERT,19.144718,0
543548379900,INSERT,27.723015,0
543548380300,INSERT,18.634754,100
543548380700,INSERT,26.365704,100
543548381100,INSERT,23.062838,100
543548381500,INSERT,21.926634,100
543548381900,INSERT,25.094913,0
543548382300,INSERT,18.940092,100
543548382700,INSERT,26.964476,100
543548383000,INSERT,27.875912,0
543548383400,INSERT,21.694998,0
543548383800,INSERT,23.556780,100
543548384200,INSERT,21.570024,100
543548384500,INSERT,28.564409,0
543548384900,INSERT,21.494949,0
543548385400,INSERT,17.421644,100
543548385800,INSERT,18.609119,100
543548386200,INSERT,16.262093,100
543548386600,INSERT,17.803888,0
543548387000,INSERT,27.732628,0
543548387300,INSERT,27.610401,0
543548387700,INSERT,26.522263,100
543548388100,INSERT,19.054995,0
543548388500,INSERT,21.434523,0
543548388900,INSERT,28.504440,100
543548389300,INSERT,19.742577,100
543548389700,INSERT,15.970489,0
543548390000,INSERT,28.095646,0
543548390400,INSERT,24.881588,0
543548390800,INSERT,15.778222,100
543548391200,INSERT,29.620045,0
543548391500,INSERT,20.112461,0
543548391900,INSERT,15.242622,0
543548392300,INSERT,24.551073,0
543548392700,INSERT,21.455580,0
543548393100,INSERT,26.969513,100
543548393500,INSERT,27.099522,100
543548393900,INSERT,28.135929,100
543548394300,INSERT,23.931700,0
543548394700,INSERT,22.770317,0
543548395000,INSERT,21.251411,0
543548395400,INSERT,22.292856,0
543548395800,INSERT,17.783287,100
543548396200,INSERT,18.760185,0
543548396500,INSERT,21.101261,0
543548396900,INSERT,27.907040,100
543548397300,INSERT,19.580523,0
543548397600,INSERT,20.055239,0
543548398000,INSERT,19.335155,100
543548398400,INSERT,20.314341,0
543548398700,INSERT,25.629139,0
543548399100,INSERT,23.300423,100
543548399400,INSERT,16.826532,0
543548399800,INSERT,16.972107,100
543548400200,INSERT,20.829340,100
543548400600,INSERT,29.474472,100
543548401000,INSERT,16.095005,0
543548401300,INSERT,16.450239,0
543548401700,INSERT,28.579058,100
543548454000,INSERT,23.559526,100
543548454500,INSERT,24.173405,0
543548454900,INSERT,29.212624,25100
543548480500,INSERT,20.310678,0
543548480900,INSERT,15.295266,0
543548481300,INSERT,22.220528,0
543548481700,INSERT,28.144627,100
543548482100,INSERT,20.768456,0
543548482500,INSERT,17.736595,100
543548483000,INSERT,16.727196,0
543548483400,INSERT,29.319284,100
543548483800,INSERT,17.602924,100
543548484200,INSERT,27.828304,0
543548484500,INSERT,24.657734,100
543548484900,INSERT,25.944092,100
543548485200,INSERT,26.393627,0
543548485600,INSERT,20.725426,0
543548485900,INSERT,17.368084,0
543548486300,INSERT,15.976897,100
543548486700,INSERT,24.678791,100
543548487100,INSERT,22.071749,0
543548487400,INSERT,20.652180,100
543548487800,INSERT,26.372570,100
543548488200,INSERT,16.096836,0
543548488500,INSERT,29.952391,100
543548488900,INSERT,20.750145,100
543548489300,INSERT,29.424114,100
543548489700,INSERT,28.229317,100
