timestamp,event,temperature,latency
276430778252700,INSERT,18.471786,800
276430778265600,INSERT,23.772850,300
276430778266700,INSERT,26.808374,100
276430778267300,INSERT,25.128330,0
276430778267900,INSERT,17.667929,200
276430778268600,INSERT,25.714287,600
276430778269700,INSERT,27.578356,100
276430778270200,INSERT,17.477951,100
276430778270600,INSERT,28.308512,0
276430778271000,INSERT,25.713829,100
276430778271400,INSERT,21.847897,0
276430778271900,INSERT,21.775108,0
276430778272300,INSERT,24.358349,0
276430778272700,INSERT,24.948425,100
276430778273000,INSERT,19.364452,100
276430778273400,INSERT,21.443678,0
276430778273700,INSERT,25.055544,100
276430778274100,INSERT,19.676657,0
276430778274400,INSERT,26.936552,100
276430778274700,INSERT,16.807764,0
276430778275200,INSERT,19.677572,0
276430778275600,INSERT,18.810999,0
276430778275900,INSERT,20.089571,100
276430778276200,INSERT,21.996674,0
276430778276600,INSERT,16.206701,100
276430778277000,INSERT,19.799799,0
276430778277400,INSERT,24.796898,0
276430778277700,INSERT,16.642506,100
276430778278100,INSERT,15.607928,0
276430778278600,INSERT,27.666248,100
276430778278900,INSERT,24.736015,0
276430778279300,INSERT,15.966826,0
276430778279600,INSERT,20.942411,100
276430778279900,INSERT,29.543594,0
276430778280400,INSERT,17.059999,100
276430778280800,INSERT,25.353100,0
276430778281100,INSERT,18.032318,0
276430778281500,INSERT,24.550615,0
276430778281800,INSERT,22.142246,100
276430778282200,INSERT,27.988983,0
276430778282500,INSERT,21.900539,0
276430778282800,INSERT,21.358074,0
276430778283200,INSERT,25.258339,0
276430778283500,INSERT,26.684317,0
276430778283900,INSERT,20.697500,0
276430778284200,INSERT,28.278755,0
276430778284600,INSERT,15.688498,0
276430778284900,INSERT,18.450270,0
276430778285300,INSERT,16.335794,100
276430778285700,INSERT,23.230843,0
276430778286100,INSERT,26.195868,0
276430778286500,INSERT,27.936796,0
276430778286800,INSERT,23.557238,100
276430778287200,INSERT,18.424177,100
276430778287500,INSERT,23.353527,0
276430778287900,INSERT,18.317514,0
276430778288200,INSERT,16.642048,100
276430778288600,INSERT,27.099064,0
276430778288900,INSERT,16.695608,0
276430778289300,INSERT,15.728324,0
276430778289600,INSERT,15.485245,100
276430778290000,INSERT,17.174902,100
276430778290300,INSERT,27.148960,0
276430778290700,INSERT,25.834225,8400
276430778299500,INSERT,15.257271,100
276430778299900,INSERT,19.144718,0
276430778300200,INSERT,27.723015,0
276430778300600,INSERT,18.634754,100
276430778301000,INSERT,26.365704,100
276430778301400,INSERT,23.062838,0
276430778301700,INSERT,21.926634,0
276430778302100,INSERT,25.094913,100
276430778302400,INSERT,18.940092,0
276430778302800,INSERT,26.964476,100
276430778303200,INSERT,27.875912,0
276430778303500,INSERT,21.694998,100
276430778303900,INSERT,23.556780,0
276430778304200,INSERT,21.570024,0
276430778304600,INSERT,28.564409,100
276430778305000,INSERT,21.494949,100
276430778305400,INSERT,17.421644,0
276430778305700,INSERT,18.609119,0
276430778306100,INSERT,16.262093,100
276430778306500,INSERT,17.803888,0
276430778306800,INSERT,27.732628,100
276430778307200,INSERT,27.610401,0
276430778307500,INSERT,26.522263,100
276430778307800,INSERT,19.054995,0
276430778308200,INSERT,21.434523,0
276430778308500,INSERT,28.504440,0
276430778308900,INSERT,19.742577,0
276430778309300,INSERT,15.970489,100
276430778309600,INSERT,28.095646,0
276430778310000,INSERT,24.881588,100
276430778310400,INSERT,15.778222,0
276430778310700,INSERT,29.620045,100
276430778311100,INSERT,20.112461,0
276430778311400,INSERT,15.242622,0
276430778311800,INSERT,24.551073,100
276430778312200,INSERT,21.455580,0
276430778312500,INSERT,26.969513,100
276430778312800,INSERT,27.099522,0
276430778313200,INSERT,28.135929,0
276430778313500,INSERT,23.931700,0
276430778313900,INSERT,22.770317,100
276430778314300,INSERT,21.251411,100
276430778314700,INSERT,22.292856,100
276430778315100,INSERT,17.783287,100
276430778315400,INSERT,18.760185,100
276430778315800,INSERT,21.101261,100
276430778316100,INSERT,27.907040,0
276430778316500,INSERT,19.580523,100
276430778316900,INSERT,20.055239,0
276430778317200,INSERT,19.335155,100
276430778458700,INSERT,20.314341,1000
276430778462100,INSERT,25.629139,200
276430778463300,INSERT,23.300423,100
276430778464100,INSERT,16.826532,0
276430778464900,INSERT,16.972107,0
276430778465600,INSERT,20.829340,0
276430778466300,INSERT,29.474472,100
276430778467000,INSERT,16.095005,100
276430778467800,INSERT,16.450239,0
276430778468500,INSERT,28.579058,100
276430778469200,INSERT,23.559526,100
276430778469800,INSERT,24.173405,100
276430778470500,INSERT,29.212624,79500
276430778552000,INSERT,20.310678,300
276430778552900,INSERT,15.295266,100
276430778553700,INSERT,22.220528,0
276430778554500,INSERT,28.144627,100
276430778555300,INSERT,20.768456,100
276430778556000,INSERT,17.736595,100
276430778556600,INSERT,16.727196,0
276430778557300,INSERT,29.319284,100
276430778557900,INSERT,17.602924,100
276430778558500,INSERT,27.828304,100
276430778559200,INSERT,24.657734,0
276430778559800,INSERT,25.944092,100
276430778575800,INSERT,26.393627,700
276430778578700,INSERT,20.725426,100
276430778579300,INSERT,17.368084,100
276430778579700,INSERT,15.976897,100
276430778580200,INSERT,24.678791,0
276430778580600,INSERT,22.071749,100
276430778581000,INSERT,20.652180,0
276430778581400,INSERT,26.372570,0
276430778581800,INSERT,16.096836,100
276430778582200,INSERT,29.952391,100
276430778582600,INSERT,20.750145,100
276430778583000,INSERT,29.424114,100
276430778583400,INSERT,28.229317,0
276430778583800,INSERT,15.745262,0
276430778584200,INSERT,23.668478,0
276430778584700,INSERT,29.177374,100
276430778585000,INSERT,20.231026,0
276430778585400,INSERT,15.590991,0
276430778585800,INSERT,22.656788,100
276430778586200,INSERT,18.381603,100
276430778586600,INSERT,28.863338,100
276430778587000,INSERT,16.690115,100
276430778587400,INSERT,26.180304,100
276430778587800,INSERT,23.946348,0
276430778588100,INSERT,18.993195,0
276430778588600,INSERT,25.156712,0
276430778588900,INSERT,21.232643,0
276430778589300,INSERT,16.367840,0
276430778589700,INSERT,22.182074,0
276430778590200,INSERT,19.645069,0
276430778590600,INSERT,24.340038,100
276430778591000,INSERT,21.108128,0
276430778591400,INSERT,29.437849,0
276430778591700,INSERT,27.463911,0
276430778592100,INSERT,20.086824,0
276430778592600,INSERT,27.377850,0
276430778593000,INSERT,26.729179,100
276430778593400,INSERT,27.400738,0
276430778593800,INSERT,29.522537,100
276430778594200,INSERT,17.302164,100
