timestamp,event,temperature,latency
694459604700,INSERT,18.471786,2500
694459624000,INSERT,23.772850,400
694459625400,INSERT,26.808374,100
694459626400,INSERT,25.128330,100
694459627300,INSERT,17.667929,300
694459628300,INSERT,25.714287,900
694459630000,INSERT,27.578356,100
694459630700,INSERT,17.477951,100
694459631200,INSERT,28.308512,0
694459632000,INSERT,25.713829,100
694459632600,INSERT,21.847897,100
694459633300,INSERT,21.775108,100
694459633800,INSERT,24.358349,0
694459634400,INSERT,24.948425,100
694459634900,INSERT,19.364452,0
694459635800,INSERT,21.443678,100
694459636500,INSERT,25.055544,100
694459637000,INSERT,19.676657,100
694459637600,INSERT,26.936552,100
694459638100,INSERT,16.807764,100
694459639000,INSERT,19.677572,100
694459639500,INSERT,18.810999,100
694459640000,INSERT,20.089571,0
694459640500,INSERT,21.996674,100
694459641100,INSERT,16.206701,100
694459641800,INSERT,19.799799,100
694459642300,INSERT,24.796898,100
694459642800,INSERT,16.642506,0
694459643300,INSERT,15.607928,0
694459644000,INSERT,27.666248,0
694459644600,INSERT,24.736015,100
694459645100,INSERT,15.966826,100
694459645600,INSERT,20.942411,100
694459646200,INSERT,29.543594,100
694459646900,INSERT,17.059999,0
694459647400,INSERT,25.353100,100
694459648000,INSERT,18.032318,0
694459648500,INSERT,24.550615,0
694459649100,INSERT,22.142246,0
694459649700,INSERT,27.988983,100
694459650100,INSERT,21.900539,0
694459650600,INSERT,21.358074,0
694459651100,INSERT,25.258339,100
694459651700,INSERT,26.684317,100
694459652200,INSERT,20.697500,200
694459652800,INSERT,28.278755,100
694459653300,INSERT,15.688498,100
694459653900,INSERT,18.450270,100
694459654400,INSERT,16.335794,100
694459655000,INSERT,23.230843,100
694459655500,INSERT,26.195868,100
694459656000,INSERT,27.936796,100
694459656500,INSERT,23.557238,0
694459657000,INSERT,18.424177,100
694459657600,INSERT,23.353527,100
694459658100,INSERT,18.317514,0
694459658600,INSERT,16.642048,0
694459659200,INSERT,27.099064,100
694459659700,INSERT,16.695608,100
694459660300,INSERT,15.728324,100
694459660800,INSERT,15.485245,0
694459661400,INSERT,17.174902,100
694459661900,INSERT,27.148960,100
694459662500,INSERT,25.834225,15100
694459678200,INSERT,15.257271,100
694459678900,INSERT,19.144718,100
694459679400,INSERT,27.723015,0
694459680000,INSERT,18.634754,0
694459680700,INSERT,26.365704,100
694459681300,INSERT,23.062838,100
694459681900,INSERT,21.926634,100
694459682500,INSERT,25.094913,100
694459683100,INSERT,18.940092,0
694459683700,INSERT,26.964476,100
694459684200,INSERT,27.875912,0
694459684800,INSERT,21.694998,100
694459685300,INSERT,23.556780,0
694459685900,INSERT,21.570024,100
694459686400,INSERT,28.564409,100
694459687000,INSERT,21.494949,100
694459687600,INSERT,17.421644,0
694459688200,INSERT,18.609119,200
694459688800,INSERT,16.262093,0
694459689400,INSERT,17.803888,100
694459689900,INSERT,27.732628,100
694459690500,INSERT,27.610401,0
694459691100,INSERT,26.522263,100
694459691600,INSERT,19.054995,100
694459692200,INSERT,21.434523,0
694459692800,INSERT,28.504440,100
694459693400,INSERT,19.742577,100
694459693900,INSERT,15.970489,100
694459694400,INSERT,28.095646,100
694459694900,INSERT,24.881588,100
694459695500,INSERT,15.778222,0
694459696100,INSERT,29.620045,0
694459696700,INSERT,20.112461,100
694459697200,INSERT,15.242622,100
694459697800,INSERT,24.551073,100
694459698400,INSERT,21.455580,100
694459699000,INSERT,26.969513,0
694459699600,INSERT,27.099522,100
694459700300,INSERT,28.135929,0
694459700900,INSERT,23.931700,100
694459701500,INSERT,22.770317,100
694459702000,INSERT,21.251411,100
694459702500,INSERT,22.292856,0
694459703100,INSERT,17.783287,100
694459703700,INSERT,18.760185,100
694459704300,INSERT,21.101261,100
694459704800,INSERT,27.907040,0
694459705400,INSERT,19.580523,100
694459705900,INSERT,20.055239,100
694459706500,INSERT,19.335155,100
694459707000,INSERT,20.314341,100
694459707500,INSERT,25.629139,100
694459708100,INSERT,23.300423,100
694459708600,INSERT,16.826532,0
694459709100,INSERT,16.972107,100
694459709700,INSERT,20.829340,0
694459710200,INSERT,29.474472,100
694459710800,INSERT,16.095005,100
694459768400,INSERT,16.450239,100
694459769100,INSERT,28.579058,100
694459769700,INSERT,23.559526,100
694459770200,INSERT,24.173405,100
694459770800,INSERT,29.212624,35000
694459806300,INSERT,20.310678,100
694459807100,INSERT,15.295266,100
694459807700,INSERT,22.220528,100
694459808200,INSERT,28.144627,100
694459808800,INSERT,20.768456,0
694459809400,INSERT,17.736595,100
694459809900,INSERT,16.727196,0
694459810400,INSERT,29.319284,100
694459811000,INSERT,17.602924,100
694459811500,INSERT,27.828304,0
694459812100,INSERT,24.657734,100
694459812700,INSERT,25.944092,100
694459813200,INSERT,26.393627,100
694459813700,INSERT,20.725426,0
694459814200,INSERT,17.368084,0
694459814800,INSERT,15.976897,100
694459815300,INSERT,24.678791,0
694459815900,INSERT,22.071749,100
694459816400,INSERT,20.652180,100
694459817000,INSERT,26.372570,100
694459817500,INSERT,16.096836,0
694459818100,INSERT,29.952391,100
694459818600,INSERT,20.750145,100
694459819200,INSERT,29.424114,100
694459819700,INSERT,28.229317,0
694459820300,INSERT,15.745262,100
694459820900,INSERT,23.668478,100
694459821400,INSERT,29.177374,0
694459822000,INSERT,20.231026,100
694459822500,INSERT,15.590991,100
694459823100,INSERT,22.656788,100
694459823700,INSERT,18.381603,100
694459824200,INSERT,28.863338,100
694459824700,INSERT,16.690115,0
694459825200,INSERT,26.180304,0
694459825800,INSERT,23.946348,100
694459826300,INSERT,18.993195,100
694459826800,INSERT,25.156712,0
694459827500,INSERT,21.232643,100
694459828000,INSERT,16.367840,100
694459828500,INSERT,22.182074,0
694459829100,INSERT,19.645069,100
694459829600,INSERT,24.340038,0
694459830100,INSERT,21.108128,100
694459830700,INSERT,29.437849,100
694459831200,INSERT,27.463911,100
694459831700,INSERT,20.086824,100
694459832200,INSERT,27.377850,100
694459832700,INSERT,26.729179,0
694459833300,INSERT,27.400738,100
694459833800,INSERT,29.522537,0
694459834300,INSERT,17.302164,0
694459834800,INSERT,29.363689,0
694459835300,INSERT,20.972626,0
694459835800,INSERT,18.275856,100
694459836400,INSERT,25.941801,0
694459836900,INSERT,23.810846,100
694459837500,INSERT,21.326487,100
694459838000,INSERT,21.741234,100
694459838600,INSERT,15.122684,100
694459839100,INSERT,18.074892,100
694459839700,INSERT,16.499680,100
694459840200,INSERT,17.157049,9500
694459850300,INSERT,26.562548,200
694459851000,INSERT,19.201025,0
694459851600,INSERT,16.271706,100
694459852200,INSERT,24.942930,100
694459852700,INSERT,22.242958,100
694459853300,INSERT,19.019287,100
694459853900,INSERT,29.310587,0
694459854500,INSERT,29.120152,0
694459855100,INSERT,27.519302,100
694459855700,INSERT,16.711172,0
694459856200,INSERT,19.845119,100
694459856800,INSERT,19.174017,0
694459857400,INSERT,29.909359,100
694459857900,INSERT,24.297920,0
694459858500,INSERT,20.580767,100
694459859100,INSERT,28.192236,100
694459859600,INSERT,24.055300,0
694459860200,INSERT,23.640553,100
694459860700,INSERT,16.065248,0
694459861200,INSERT,19.624928,0
694459861800,INSERT,15.811640,100
694459862300,INSERT,16.051516,100
694459862900,INSERT,28.241219,0
694459863400,INSERT,22.518082,100
694459864000,INSERT,15.933409,0
694459864500,INSERT,28.102055,100
694459865100,INSERT,18.388470,100
694459865600,INSERT,22.547838,0
694459866200,INSERT,16.332590,100
694459866700,INSERT,19.726097,100
694459867300,INSERT,22.187567,0
694459867800,INSERT,23.717461,100
694459868400,INSERT,24.372540,0
694459868900,INSERT,23.218483,0
694459869500,INSERT,27.111423,100
694459870100,INSERT,28.048492,100
694459870700,INSERT,28.166142,100
694459871200,INSERT,24.205450,100
694459871700,INSERT,23.873562,100
694459872200,INSERT,18.112431,100
694459872800,INSERT,28.352459,100
694459873300,INSERT,18.199865,100
694459873800,INSERT,26.148258,100
694459874400,INSERT,19.754478,100
694459875000,INSERT,24.312571,100
694459875500,INSERT,23.824121,100
694459876100,INSERT,25.275276,100
694459876600,INSERT,29.836115,100
694459877200,INSERT,15.300760,100
694459877700,INSERT,21.291697,100
694459878300,INSERT,19.182714,100
694459878800,INSERT,21.360363,100
694459879300,INSERT,24.454025,100
694459879900,INSERT,17.254555,100
694460017800,INSERT,22.229225,300
694460019100,INSERT,20.809198,100
694460019700,INSERT,26.151463,100
694460020200,INSERT,24.596394,100
694460020800,INSERT,15.196844,100
694460021300,INSERT,20.042877,0
694460021900,INSERT,24.695272,100
694460022400,INSERT,23.269753,100
694460023000,INSERT,27.149418,5700
694460029300,INSERT,17.600636,100
694460029900,INSERT,29.775230,100
694460030500,INSERT,20.777153,100
694460031000,INSERT,23.371838,100
694460031600,INSERT,26.755272,100
694460032100,INSERT,26.688894,0
694460032700,INSERT,23.378246,100
694460033200,INSERT,16.115604,100
694460033800,INSERT,15.152440,100
694460034300,INSERT,16.790827,0
694460034900,INSERT,21.628620,100
694460035500,INSERT,27.365032,100
694460036000,INSERT,18.394421,0
694460036600,INSERT,16.129337,0
694460037200,INSERT,26.335491,100
694460037700,INSERT,20.339977,100
694460038200,INSERT,17.390972,0
694460038700,INSERT,27.749565,0
694460039300,INSERT,18.527634,100
694460039800,INSERT,28.963593,100
694460040500,INSERT,16.845303,0
694460041000,INSERT,25.624561,100
694460041500,INSERT,29.533524,0
694460042100,INSERT,17.003693,100
694460042600,INSERT,19.701376,100
694460043100,INSERT,25.690481,0
694460043700,INSERT,19.758141,100
694460044200,INSERT,26.111637,100
694460044700,INSERT,19.898220,0
694460045200,INSERT,26.942503,100
694460045800,INSERT,27.259285,100
694460046300,INSERT,24.475540,100
694460046800,INSERT,23.287605,100
694460047300,INSERT,18.076265,0
694460047800,INSERT,29.707939,100
694460048400,INSERT,15.311289,100
694460048900,INSERT,24.040651,100
694460049400,INSERT,27.630085,0
694460050000,INSERT,20.833002,100
694460050500,INSERT,26.899929,100
694460051000,INSERT,21.401562,100
694460051600,INSERT,23.102207,0
694460052200,INSERT,29.944609,100
694460052700,INSERT,18.402203,100
694460053200,INSERT,19.125950,0
694460053800,INSERT,27.013458,100
694460054300,INSERT,15.620289,100
694460054800,INSERT,28.161106,100
694460055400,INSERT,17.447279,100
694460055900,INSERT,15.378582,100
694460056500,INSERT,22.165134,100
694460057000,INSERT,28.712273,0
694460057600,INSERT,29.918056,100
694460058100,INSERT,26.564379,100
694460058600,INSERT,19.917906,100
694460059200,INSERT,25.224007,100
694460059700,INSERT,29.964294,100
694460060200,INSERT,15.989258,0
694460060700,INSERT,28.019653,0
694460061200,INSERT,26.584520,0
694460061800,INSERT,24.506210,100
694460062400,INSERT,19.649647,100
694460062900,INSERT,15.715964,4600
694460068000,INSERT,20.849483,0
694460068600,INSERT,24.478745,100
694460069100,INSERT,26.926481,100
694460069700,INSERT,15.809351,0
